volume,open,high,low,close,caldt
66586715,385.12,389.83,383.267,388.99,2022-07-07 00:00:00-04:00
73126115,387.27,390.64,385.66,388.67,2022-07-08 00:00:00-04:00
60196162,385.85,386.87,383.5,384.23,2022-07-11 00:00:00-04:00
63304211,383.65,386.16,378.99,380.83,2022-07-12 00:00:00-04:00
85453239,375.1,381.92,374.658,378.83,2022-07-13 00:00:00-04:00
91022894,373.61,379.0498,371.04,377.91,2022-07-14 00:00:00-04:00
80721517,382.55,385.25,380.54,385.13,2022-07-15 00:00:00-04:00
64573224,388.38,389.09,380.66,381.95,2022-07-18 00:00:00-04:00
80462808,386.08,392.87,385.39,392.27,2022-07-19 00:00:00-04:00
72028992,392.47,396.26,391.03,394.77,2022-07-20 00:00:00-04:00
65044042,394.16,398.84,391.63,398.79,2022-07-21 00:00:00-04:00
73212677,398.92,400.18,392.75,395.09,2022-07-22 00:00:00-04:00
54460198,395.75,396.47,393.21,395.57,2022-07-25 00:00:00-04:00
54110744,393.84,394.06,389.95,390.89,2022-07-26 00:00:00-04:00
84389399,394.36,402.88,394.05,401.04,2022-07-27 00:00:00-04:00
75478050,401.89,406.8,398.15,406.04,2022-07-28 00:00:00-04:00
88654585,407.58,413.03,406.77,411.99,2022-07-29 00:00:00-04:00
71138117,409.15,413.41,408.4,410.77,2022-08-01 00:00:00-04:00
64549577,409.12,413.0,406.82,408.06,2022-08-02 00:00:00-04:00
69189866,410.3,415.68,410.0,414.45,2022-08-03 00:00:00-04:00
46473255,414.37,415.09,412.44,414.17,2022-08-04 00:00:00-04:00
57663233,409.66,414.15,409.6,413.47,2022-08-05 00:00:00-04:00
54800278,415.25,417.62,411.83,412.99,2022-08-08 00:00:00-04:00
45025319,412.22,412.75,410.22,411.35,2022-08-09 00:00:00-04:00
70131594,418.78,420.14,416.72,419.99,2022-08-10 00:00:00-04:00
60543614,422.99,424.95,419.21,419.99,2022-08-11 00:00:00-04:00
62922310,422.03,427.21,421.03,427.1,2022-08-12 00:00:00-04:00
54947334,424.765,429.41,424.71,428.86,2022-08-15 00:00:00-04:00
60027042,427.73,431.73,426.88,429.7,2022-08-16 00:00:00-04:00
64678140,425.91,429.5,424.54,426.65,2022-08-17 00:00:00-04:00
49133661,426.86,428.61,425.5,427.89,2022-08-18 00:00:00-04:00
69269902,424.98,425.26,421.22,422.14,2022-08-19 00:00:00-04:00
79484165,417.05,417.23,412.4,413.35,2022-08-22 00:00:00-04:00
49771778,412.9,415.42,411.77,412.35,2022-08-23 00:00:00-04:00
50531686,412.11,415.1101,411.39,413.67,2022-08-24 00:00:00-04:00
51062473,415.24,419.56,414.09,419.51,2022-08-25 00:00:00-04:00
105714602,419.39,419.96,405.25,405.31,2022-08-26 00:00:00-04:00
66499372,402.2,405.84,401.1999,402.63,2022-08-29 00:00:00-04:00
87190352,403.85,404.1,396.0,398.21,2022-08-30 00:00:00-04:00
77635142,399.93,401.24,395.04,395.18,2022-08-31 00:00:00-04:00
80204169,392.89,396.78,390.04,396.42,2022-09-01 00:00:00-04:00
101452968,400.28,401.555,390.33,392.24,2022-09-02 00:00:00-04:00
77511258,393.13,394.12,388.42,390.76,2022-09-06 00:00:00-04:00
73982489,390.43,398.59,390.2,397.78,2022-09-07 00:00:00-04:00
82038578,395.39,400.86,394.12,400.38,2022-09-08 00:00:00-04:00
79609462,402.74,407.51,402.46,406.6,2022-09-09 00:00:00-04:00
70935353,408.78,411.73,408.46,410.97,2022-09-12 00:00:00-04:00
